District code,State name,District name,Population,Female,Female_Literate
443,MADHYA PRADESH,Vidisha,1458875,689307,350574
444,MADHYA PRADESH,Bhopal,2371061,1134931,740376
445,MADHYA PRADESH,Sehore,1311332,627589,311154
446,MADHYA PRADESH,Raisen,1331597,631239,341127
447,MADHYA PRADESH,Betul,1575362,776126,409986
448,MADHYA PRADESH,Harda,570465,275627,148743
449,MADHYA PRADESH,Hoshangabad,1241350,592625,341445
450,MADHYA PRADESH,Katni,1292042,630029,330190
451,MADHYA PRADESH,Jabalpur,2463289,1186011,776161
452,MADHYA PRADESH,Narsimhapur,1091854,523044,305294
453,MADHYA PRADESH,Dindori,704524,352611,155955
454,MADHYA PRADESH,Mandla,1054905,529633,256929
455,MADHYA PRADESH,Chhindwara,2090922,1026454,562904
456,MADHYA PRADESH,Seoni,1379131,683252,378853
457,MADHYA PRADESH,Balaghat,1701698,859520,521155
458,MADHYA PRADESH,Guna,1241519,592157,253443
459,MADHYA PRADESH,Ashoknagar,845071,401234,178805
460,MADHYA PRADESH,Shahdol,1066063,526042,255433
461,MADHYA PRADESH,Anuppur,749237,370123,182475
462,MADHYA PRADESH,Sidhi,1127033,551121,247755
463,MADHYA PRADESH,Singrauli,1178273,564636,225131
464,MADHYA PRADESH,Jhabua,1025048,510025,137499
465,MADHYA PRADESH,Alirajpur,728999,366457,88849
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,635732,299356
467,MADHYA PRADESH,Burhanpur,757847,369343,175606
468,GUJARAT,Kachchh,2092371,995634,513080
469,GUJARAT,Banas Kantha,3120506,1510127,656521
470,GUJARAT,Patan,1343734,649337,343282
471,GUJARAT,Mahesana,2035064,978544,655146
472,GUJARAT,Sabar Kantha,2428589,1184358,660109
473,GUJARAT,Gandhinagar,1391753,667889,447808
474,GUJARAT,Ahmadabad,7214225,3426174,2410297
475,GUJARAT,Surendranagar,1756268,846351,450405
476,GUJARAT,Rajkot,3804558,1830113,1210981
477,GUJARAT,Jamnagar,2160119,1045927,601394
478,GUJARAT,Porbandar,585449,285240,172057
479,GUJARAT,Junagadh,2743082,1338726,795837
480,GUJARAT,Amreli,1514190,743141,437279
481,GUJARAT,Bhavnagar,2880365,1390164,799884
482,GUJARAT,Anand,2092745,1005521,676772
483,GUJARAT,Kheda,2299885,1114158,717763
484,GUJARAT,Panch Mahals,2390776,1163815,582751
485,GUJARAT,Dohad,2127086,1058435,408136
486,GUJARAT,Vadodara,4165626,2011890,1278993
487,GUJARAT,Narmada,590297,289211,158569
488,GUJARAT,Bharuch,1551019,745312,495229
489,GUJARAT,The Dangs,228291,114470,63654
490,GUJARAT,Navsari,1329672,651507,462438
491,GUJARAT,Valsad,1705678,818456,515129
492,GUJARAT,Surat,6081322,2679098,1883942
493,GUJARAT,Tapi,807022,404834,221029
494,DAMAN AND DIU,Diu,52074,26432,17731
495,DAMAN AND DIU,Daman,191173,66514,46032
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,149949,80709
497,MAHARASHTRA,Nandurbar,1648295,815125,394410
498,MAHARASHTRA,Dhule,2050862,996831,570528
499,MAHARASHTRA,Jalgaon,4229917,2032552,1262659
500,MAHARASHTRA,Buldana,2586258,1248698,830982
501,MAHARASHTRA,Akola,1813906,881572,652304
502,MAHARASHTRA,Washim,1197160,576858,382214
503,MAHARASHTRA,Amravati,2888445,1407677,1044771
504,MAHARASHTRA,Wardha,1300774,632389,466841
505,MAHARASHTRA,Nagpur,4653570,2268595,1714588
